u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,junction,bridge,tunnel
7185334298,10137915981,0,"[436237643, 11507757]","['McNair Road', 'Sims Road']",residential,False,False,167.58800000000002,"LINESTRING (-8514521.933684846 4719525.44171861, -8514514.330563625 4719522.362680521, -8514438.421802854 4719611.440346285, -8514435.282593213 4719615.120903332, -8514353.262392398 4719640.19741901)",,,,,,no,
7185334298,4835974738,0,436237643,Sims Road,residential,False,True,164.38,"LINESTRING (-8514521.933684846 4719525.44171861, -8514561.774930602 4719541.595943067, -8514577.470978804 4719547.066617114, -8514592.588165652 4719551.262712034, -8514607.649692757 4719551.13382172, -8514620.395774454 4719547.052295974, -8514633.130724201 4719538.08726624, -8514693.96682592 4719468.558431002)",,,,,,no,
102629495,102614539,0,11514655,Giddings Avenue,residential,False,False,113.327,"LINESTRING (-8515874.910775948 4720570.549915685, -8515973.996254705 4720463.360248355)",,,,,,no,
102629495,102610258,0,11514655,Giddings Avenue,residential,False,True,117.497,"LINESTRING (-8515874.910775948 4720570.549915685, -8515772.686087552 4720682.152120619)",,,,,,no,
102629495,102593333,0,11518241,Shiley Street,residential,False,False,141.55,"LINESTRING (-8515874.910775948 4720570.549915685, -8516008.238130072 4720694.913693332)",,,,,,no,
102629499,102593331,0,11516423,Tucker Street,residential,False,False,142.529,"LINESTRING (-8516077.857339613 4720349.211087243, -8516211.095638143 4720475.505680178)",,,,,,no,
102629499,8413536022,0,1071788458,Tucker Street,residential,False,True,48.903,"LINESTRING (-8516077.857339613 4720349.211087243, -8516030.947306192 4720307.175302186)",,,,,,no,
102629499,3590614203,0,1303091350,Giddings Avenue,residential,False,False,56.008,"LINESTRING (-8516077.857339613 4720349.211087243, -8516127.160742087 4720296.548225016)",,,,,,no,
102629499,102614539,0,11514655,Giddings Avenue,residential,False,True,119.86699999999999,"LINESTRING (-8516077.857339613 4720349.211087243, -8516032.995584825 4720401.3013291685, -8516009.863394637 4720424.403301083, -8515973.996254705 4720463.360248355)",,,,,,no,
1486127380,102614143,0,437649001,Vandergrift Road,residential,False,True,22.652,"LINESTRING (-8515421.161399525 4719657.16814014, -8515429.788660062 4719629.298937128)",,,,,,no,
