,fromnode,tonode,key,linknwid,highway,name,oneway,reversed,length,lanes,maxspeed,ref,access,junction,bridge,tunnel,geometry,inundationDepth,LS_0,DS_0,DS_1,time,recov,mean_downtime,std_downtime
0,7185334298,10137915981,0,"[436237643, 11507757]",residential,"['McNair Road', 'Sims Road']",0,False,167.58800902580379,,,,,,no,,"LINESTRING (-76.4872519 38.9850158, -76.48718359999999 38.9849943, -76.48650170000001 38.9856163, -76.4864735 38.985642, -76.4857367 38.9858171)",13.809748482304316,0.7352393338,0.26476066620000005,0.7352393338,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26476067 0.26476067 0.26476088 0.63238033 0.99999979 1.
 1.         1.         1.         1.        ]",2.2057180014,1.3236173712708792
1,7185334298,4835974738,0,436237643,residential,Sims Road,0,True,164.37963855348607,,,,,,no,,"LINESTRING (-76.4872519 38.9850158, -76.4876098 38.9851286, -76.4877508 38.9851668, -76.4878866 38.9851961, -76.48802190000001 38.9851952, -76.4881364 38.9851667, -76.4882508 38.9851041, -76.4887973 38.9846186)",13.73518764634679,0.7345868844,0.2654131156,0.7345868844,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26541312 0.26541312 0.26541333 0.63270656 0.99999979 1.
 1.         1.         1.         1.        ]",2.2037606532000003,1.3246591204115303
2,102629495,102614539,0,11514655,residential,Giddings Avenue,0,False,113.32696815077662,,,,,,no,,"LINESTRING (-76.4994059 38.9923131, -76.50029600000001 38.9915647)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
3,102629495,102610258,0,11514655,residential,Giddings Avenue,0,True,117.49687750634276,,,,,,no,,"LINESTRING (-76.4994059 38.9923131, -76.4984876 38.9930923)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
4,102629495,102593333,0,11518241,residential,Shiley Street,0,False,141.5495629981769,,,,,,no,,"LINESTRING (-76.4994059 38.9923131, -76.50060360000001 38.9931814)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
5,102629499,102593331,0,11516423,residential,Tucker Street,0,False,142.529155269972,,,,,,no,,"LINESTRING (-76.501229 38.9907677, -76.50242590000001 38.9916495)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
6,102629499,8413536022,0,1071788458,residential,Tucker Street,0,True,48.90307817853396,,,,,,no,,"LINESTRING (-76.501229 38.9907677, -76.5008076 38.9904742)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
7,102629499,3590614203,0,1303091350,residential,Giddings Avenue,0,False,56.008230561614624,,,,,,no,,"LINESTRING (-76.501229 38.9907677, -76.50167190000001 38.9904)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
8,102629499,102614539,0,11514655,residential,Giddings Avenue,0,True,119.86590710843561,,,,,,no,,"LINESTRING (-76.501229 38.9907677, -76.500826 38.9911314, -76.50061820000001 38.9912927, -76.50029600000001 38.9915647)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
9,1486127380,102614143,0,437649001,residential,Vandergrift Road,0,True,22.651648140079296,,,,,,no,,"LINESTRING (-76.49532979999999 38.9859356, -76.4954073 38.985741)",0.9190967846802405,0.3563917871,0.6436082129,0.3563917871,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.64360821 0.64360821 0.64360832 0.82180411 0.9999999  1.
 1.         1.         1.         1.        ]",1.0691753613,1.436798712182774
