,id,geometry
0,7185334298,POINT (-76.4872519 38.9850158)
1,102629495,POINT (-76.4994059 38.9923131)
2,102629499,POINT (-76.501229 38.9907677)
3,1486127380,POINT (-76.49532979999999 38.9859356)
4,10245603663,POINT (-76.48626849999999 38.9758556)
5,3158507895,POINT (-76.4926877 38.9810717)
6,3158507919,POINT (-76.4903224 38.982498)
7,3158507933,POINT (-76.4910155 38.9829401)
8,3158507937,POINT (-76.4915683 38.9832892)
9,102564288,POINT (-76.4999856 38.9720976)
10,102597243,POINT (-76.492188 38.9883692)
11,6495077016,POINT (-76.5011957 38.9873408)
12,9898623652,POINT (-76.4915577 38.978598)
13,9898623654,POINT (-76.4915591 38.9786945)
14,9898623661,POINT (-76.4910105 38.9794729)
15,6495077042,POINT (-76.5003573 38.9856058)
16,6495077044,POINT (-76.5004778 38.9854973)
17,2286912254,POINT (-76.4938033 38.9899927)
18,2286912259,POINT (-76.4927182 38.9906644)
19,10245669636,POINT (-76.48719490000001 38.9772904)
20,7308543060,POINT (-76.49285949999999 38.9780247)
21,11485643862,POINT (-76.5010695 38.9772515)
22,11485643864,POINT (-76.5011827 38.9774696)
23,7611024585,POINT (-76.49612380000001 38.9892248)
24,3812721913,POINT (-76.4817601 38.9835124)
25,3812721933,POINT (-76.4819201 38.983617)
26,102597965,POINT (-76.5007396 38.9889832)
27,102597968,POINT (-76.50212639999999 38.9900225)
28,3615881096,POINT (-76.4851638 38.9799939)
29,10031891817,POINT (-76.4830091 38.9778473)
30,10031891819,POINT (-76.48272179999999 38.9778969)
31,10031891824,POINT (-76.4821539 38.9784272)
32,3615881115,POINT (-76.4844494 38.9795273)
33,102631015,POINT (-76.4943778 38.9735978)
34,102631017,POINT (-76.4940847 38.9740287)
35,10032187116,POINT (-76.4900423 38.9813758)
36,3814033151,POINT (-76.4979972 38.988761)
37,102598422,POINT (-76.4882326 38.9830868)
38,102598425,POINT (-76.48736359999999 38.982145)
39,102598428,POINT (-76.4863039 38.9812657)
40,102565667,POINT (-76.496971 38.9774853)
41,102565669,POINT (-76.4969704 38.9766118)
42,102631414,POINT (-76.4914225 38.9786238)
43,102631416,POINT (-76.4923185 38.9785692)
44,11419846902,POINT (-76.4975031 38.9868166)
45,102566153,POINT (-76.4857087 38.9739489)
46,102566156,POINT (-76.4871658 38.9748753)
47,102566159,POINT (-76.489042 38.9760546)
48,102566160,POINT (-76.4896305 38.9764277)
49,102566161,POINT (-76.49037509999999 38.9769023)
50,102566164,POINT (-76.4911716 38.9774212)
51,102566166,POINT (-76.49260769999999 38.9781608)
52,3814033864,POINT (-76.4974484 38.9897585)
53,3814033869,POINT (-76.49721769999999 38.9895978)
54,4836067814,POINT (-76.489536 38.9819926)
55,4836067817,POINT (-76.4894165 38.9819784)
56,4836067819,POINT (-76.4894141 38.9819147)
57,7018809936,POINT (-76.4977622 38.9891173)
58,7018809956,POINT (-76.4967272 38.9903729)
59,7018809966,POINT (-76.49817160000001 38.9888834)
60,7018809968,POINT (-76.4970687 38.9893706)
61,102599278,POINT (-76.5020593 38.9766667)
62,102599281,POINT (-76.5028111 38.978165)
63,102599283,POINT (-76.503046 38.9786384)
64,9630649045,POINT (-76.4938052 38.9775906)
65,9630649056,POINT (-76.4940033 38.9774177)
66,7036242950,POINT (-76.4897381 38.9805222)
67,102632847,POINT (-76.4853727 38.9777425)
68,7786302870,POINT (-76.4978808 38.9793711)
69,6496816573,POINT (-76.4934863 38.9815437)
70,9630748541,POINT (-76.4919501 38.9796326)
71,7150276553,POINT (-76.4959923 38.9763128)
72,6799429600,POINT (-76.4888215 38.9759119)
73,7085887671,POINT (-76.500941 38.9891487)
74,102568128,POINT (-76.5011238 38.9792059)
75,4835974765,POINT (-76.4851166 38.985916)
76,7035294162,POINT (-76.49423299999999 38.9793446)
77,7308513807,POINT (-76.4932056 38.9781203)
78,7607685708,POINT (-76.5001662 38.9772264)
79,9688748636,POINT (-76.4989783 38.9805484)
80,4699361904,POINT (-76.4869434 38.9771445)
81,4699361905,POINT (-76.4911517 38.9803537)
82,3812725367,POINT (-76.4799349 38.9804988)
83,7300289220,POINT (-76.4895077 38.9818781)
84,102601525,POINT (-76.4984005 38.9868388)
85,7475369162,POINT (-76.4902551 38.9794703)
86,7475369163,POINT (-76.49027049999999 38.9794033)
87,7475369165,POINT (-76.4898937 38.9788765)
88,7475369166,POINT (-76.491272 38.980258)
89,7475369167,POINT (-76.4902439 38.9783524)
90,102569248,POINT (-76.4966555 38.9802828)
91,102569250,POINT (-76.49741830000001 38.980273)
92,4343502210,POINT (-76.49541979999999 38.9892463)
93,1304073625,POINT (-76.4827308 38.9776954)
94,6799758758,POINT (-76.49584040000001 38.993683)
95,3148256782,POINT (-76.4936893 38.9846583)
96,3627587194,POINT (-76.4931615 38.9801686)
97,7094900479,POINT (-76.5025141 38.9903)
98,3659143022,POINT (-76.4858449 38.9765929)
99,2098730870,POINT (-76.49036340000001 38.9852426)
100,2098730878,POINT (-76.48523640000001 38.9858058)
101,2098730884,POINT (-76.4909323 38.9853927)
102,102569875,POINT (-76.4878152 38.9773909)
103,11365456002,POINT (-76.48914619999999 38.9868874)
104,5202712721,POINT (-76.48666 38.9766444)
105,5202712722,POINT (-76.48749290000001 38.9778721)
106,5202712733,POINT (-76.4877699 38.9775571)
107,102635911,POINT (-76.4902242 38.9898958)
108,7985096486,POINT (-76.4987421 38.9865189)
109,6193355556,POINT (-76.4898486 38.9781373)
110,764812180,POINT (-76.5004416 38.9782646)
111,639278160,POINT (-76.4868912 38.9771685)
112,639278205,POINT (-76.4870791 38.9775197)
113,639278221,POINT (-76.4873608 38.9775622)
114,102636686,POINT (-76.49383159999999 38.9878481)
115,102636689,POINT (-76.4929104 38.9873253)
116,639278230,POINT (-76.4871007 38.9775563)
117,639278235,POINT (-76.4873302 38.977586)
118,639278248,POINT (-76.4910242 38.9783691)
119,639278258,POINT (-76.49150280000001 38.9787799)
120,639278285,POINT (-76.4925149 38.97872)
121,4836073064,POINT (-76.48779070000001 38.983476)
122,1304010093,POINT (-76.49198320000001 38.9796017)
123,1304010096,POINT (-76.4914761 38.9790369)
124,1304010097,POINT (-76.49135680000001 38.9792171)
125,1304010102,POINT (-76.49215289999999 38.9794424)
126,4835974727,POINT (-76.48861909999999 38.9841151)
127,4836073073,POINT (-76.4886236 38.9840521)
128,4836073081,POINT (-76.487701 38.9835143)
129,4835974799,POINT (-76.4890029 38.984436)
130,12063907552,POINT (-76.4944177 38.981846)
131,102637302,POINT (-76.4978509 38.9865242)
132,8006803218,POINT (-76.49035240000001 38.9887784)
133,8006803224,POINT (-76.49053929999999 38.9886358)
134,102571991,POINT (-76.4877276 38.9835318)
135,102571993,POINT (-76.48664479999999 38.9828253)
136,102572036,POINT (-76.49901869999999 38.9767342)
137,102572063,POINT (-76.5002398 38.9879959)
138,102572153,POINT (-76.4917793 38.9743512)
139,102572156,POINT (-76.49153 38.9745999)
140,102572158,POINT (-76.490882 38.975212)
141,102572161,POINT (-76.4906874 38.9753912)
142,3093471527,POINT (-76.5027704 38.9928052)
143,3093471570,POINT (-76.50297190000001 38.9926332)
144,3093471573,POINT (-76.5030898 38.9921378)
145,3093471587,POINT (-76.50191289999999 38.9920808)
146,639279490,POINT (-76.4926363 38.9790208)
147,102605356,POINT (-76.494483 38.988411)
148,5759672918,POINT (-76.48770570000001 38.9781436)
149,102572721,POINT (-76.49629969999999 38.9781677)
150,102572723,POINT (-76.4962319 38.9775945)
151,102572724,POINT (-76.4963712 38.9764709)
152,12112044738,POINT (-76.4887489 38.9775774)
153,12112044750,POINT (-76.4902242 38.9778711)
154,12112044751,POINT (-76.4900725 38.9777957)
155,12112044756,POINT (-76.48994020000001 38.9778154)
156,12112044759,POINT (-76.4890121 38.9776317)
157,12112044762,POINT (-76.4907353 38.9779715)
158,12112044769,POINT (-76.49191329999999 38.9767989)
159,12112044772,POINT (-76.49122560000001 38.9773697)
